i,IDA Return Value,t,y[0],y[1],y[2],y[3],y[4],y[5],y[6],y[7],y[8],y[9],y[10],y[11],y[12],y[13],y[14],y[15],y[16],y[17],y[18],y[19],y[20],y[21],y[22],y[23],y[24]
12,0,0.05,0.5539891568647036,-1.136201749105058e-07,0.9954725273151409,0.9712992899227305,0.3068822961846178,-2.022972352568831e-50,-0.2805780993687934,0.9858032323581767,1.02495467500558,0,0.2805780674894613,0.985803120351041,1.000008727801071,0.4834659191784157,0.8768065986360398,1.000008614179903,0.05011863909509643,0.9999995777022623,1.914050274100913,1.555568955390961,-5.477593228074295,0.9949881360904904,0.1000008614179903,1,0
13,0,0.05416666666666667,0.5539889772339668,-1.197090492681662e-07,0.9954725236523649,0.9712992841980498,0.3068823023892321,-2.011764629787139e-50,-0.2805781050415836,0.9858032278706388,1.024954669854895,0,0.2805780714538459,0.9858031098610716,1.000008069604249,0.4834655442112941,0.8768060388923232,1.000007949894232,0.05011848387506494,0.9999995777022623,1.914050274100913,1.555567922057694,-5.477593469527679,0.9949881516124937,0.1000007949894232,1,0
14,0,0.05833333333333333,0.5539887889381944,-1.253500462198681e-07,0.9954725202479402,0.9712992804897616,0.3068822935977662,-2.000618070977773e-50,-0.280578097003672,0.9858032243446686,1.024954663656865,0,0.2805780618331955,0.9858031007741889,1.000007424344754,0.4834651579748348,0.8768055013485497,1.000007298993774,0.05011834125302277,0.9999995777022623,1.914050274100913,1.55556690954587,-5.477593691384189,0.9949881658746978,0.1000007298993774,1,0
15,0,0.0625,0.5539885909300611,-1.305200409242424e-07,0.9954725170684193,0.9712992789957255,0.3068822666093703,-1.989533527474122e-50,-0.2805780723285672,0.9858032218393418,1.024954654316603,0,0.2805780357075066,0.9858030931722649,1.000006797334122,0.4834647587936203,0.8768049932523235,1.000006666813191,0.05011821541929611,0.9999995777022623,1.914050274100913,1.555565926153852,-5.477593887125541,0.9949881784580705,0.1000006666813191,1,0
16,0,0.06666666666666667,0.5539883833294104,-1.352227678668673e-07,0.9954725141179425,0.9712992796943895,0.3068822217501556,-1.978510945832807e-50,-0.280578031314428,0.9858032203485212,1.024954641747881,0,0.2805779933738901,0.9858030870454813,1.000006188077242,0.4834643468577586,0.8768045139065266,1.000006052853639,0.05011810596531429,0.9999995777022623,1.914050274100913,1.55556497110566,-5.477594057387289,0.9949881894034684,0.1000006052853639,1,0
17,0,0.07083333333333333,0.5539881718713668,-1.396369415995692e-07,0.9954725115946416,0.9712992815543683,0.3068821746262444,-1.967547768510221e-50,-0.2805779882297091,0.9858032195785323,1.024954621824162,0,0.2805779490506575,0.9858030819239856,1.000005572880586,0.4834639312649033,0.8768040299504525,1.000005433242865,0.05011799333884702,0.9999995777022623,1.914050274100913,1.555564007266679,-5.477594232584016,0.9949882006661153,0.1000005433242865,1,0
18,0,0.075,0.5539879532232569,-1.436587113300394e-07,0.9954725093833825,0.9712992851749987,0.3068821161689393,-1.956645481691609e-50,-0.2805779347830302,0.985803219700029,1.02495459694337,0,0.2805778944755668,0.9858030780808087,1.000004965512434,0.4834635067284197,0.8768035607699642,1.000004821853005,0.05011788890166975,0.9999995777022623,1.914050274100913,1.555563056215785,-5.477594395041847,0.994988211109833,0.1000004821853005,1,0
19,0,0.07916666666666666,0.5539877273850807,-1.472880770582777e-07,0.995472507484165,0.9712992905562805,0.3068820463782403,-1.94580408537697e-50,-0.2805778709743912,0.9858032207130113,1.024954567105507,0,0.2805778296486177,0.9858030755159505,1.000004365972784,0.4834630732483079,0.8768031063650616,1.000004218684058,0.05011779265378247,0.9999995777022623,1.914050274100913,1.555562117952979,-5.477594544760783,0.9949882207346219,0.1000004218684058,1,0
20,0,0.08333333333333333,0.5539874960072968,-1.504951052430173e-07,0.9954725059333163,0.9712992974691274,0.3068819680065058,-1.935022827436837e-50,-0.2805777993202339,0.9858032225476407,1.024954537653482,0,0.2805777570946504,0.9858030741890811,1.000003772299106,0.4834626337815503,0.8768026627313189,1.000003621803427,0.05011770162431023,0.9999995777022623,1.914050274100913,1.555561189471996,-5.477594686362186,0.9949882298375692,0.1000003621803426,1,0
21,0,0.08749999999999999,0.5539872622734167,-1.53222058133166e-07,0.9954725048009058,0.9712993054716621,0.3068818863626621,-1.924300257115229e-50,-0.2805777246744339,0.9858032250692084,1.024954518893049,0,0.2805776816837397,0.9858030740224093,1.000003180705944,0.4834621940317659,0.8768022221447399,1.000003027483392,0.05011761008283719,0.9999995777022623,1.914050274100913,1.555560264974164,-5.477594828760032,0.9949882389917165,0.1000003027483391,1,0
22,0,0.09166666666666666,0.5539870237668685,-1.555127638829879e-07,0.9954725040337447,0.9712993148993092,0.3068817974167557,-1.913637475666625e-50,-0.2805776433524623,0.9858032283799705,1.024954503001213,0,0.2805775997190599,0.9858030750749858,1.0000025940668,0.4834617496693941,0.8768017904685335,1.000002438553628,0.05011752237926517,0.9999995777022623,1.914050274100913,1.555559348861199,-5.477594965187811,0.9949882477620736,0.1000002438553628,1,0
23,0,0.09583333333333333,0.553986780487652,-1.573672224924829e-07,0.9954725036318325,0.9712993257520687,0.3068817011687867,-1.903034483091023e-50,-0.2805775553543193,0.9858032324799271,1.024954489977975,0,0.2805775112006113,0.9858030773468104,1.000002012381674,0.4834613006944349,0.8768013677026995,1.000001855014135,0.0501174385135942,0.9999995777022623,1.914050274100913,1.555558441133099,-5.477595095645521,0.9949882561486407,0.1000001855014135,1,0
24,0,0.1,0.5539865358016356,-1.588135608260118e-07,0.9954725036449165,0.9712993376137735,0.3068816015949392,-1.892489619273432e-50,-0.280577464315373,0.9858032372324593,1.024954475606502,0,0.2805774197558693,0.9858030806735369,1.000001436204613,0.4834608528439888,0.8768009511149716,1.000001277390827,0.05011735553527159,0.9999995777022623,1.914050274100913,1.555557542607953,-5.477595224722911,0.9949882644464729,0.1000001277390827,1,0
25,0,0.1041666666666667,0.5539862900970683,-1.59855023283987e-07,0.9954725040787346,0.9712993504364195,0.3068814991538613,-1.882002692721559e-50,-0.280577370654959,0.9858032426218085,1.024954459400389,0,0.2805773258032589,0.9858030850362083,1.000000865599527,0.4834604067798235,0.8768005403901861,1.000000705744367,0.05011727310395461,0.9999995777022623,1.914050274100913,1.555556653380127,-5.477595352949405,0.9949882726896045,0.1000000705744367,1,0
26,0,0.1083333333333333,0.5539860419963299,-1.604800977902648e-07,0.995472504912926,0.9712993643903399,0.3068813922181362,-1.871574382905748e-50,-0.2805772728851531,0.9858032487038915,1.024954443085547,0,0.2805772278580866,0.9858030905020898,1.000000300339649,0.4834599601537947,0.8768001366466354,1.000000139859504,0.05011719242727828,0.9999995777022623,1.914050274100913,1.555555773114784,-5.477595478446456,0.9949882807572722,0.1000000139859504,1,0
27,0,0.1125,0.5539857914994204,-1.606887843448452e-07,0.9954725061474908,0.9712993794755349,0.3068812807877637,-1.861204689825998e-50,-0.2805771710059555,0.9858032554787084,1.024954426661977,0,0.2805771259203525,0.9858030970711815,0.9999997404249781,0.4834595129659024,0.8767997398843196,0.9999995797362368,0.05011711350524262,0.9999995777022623,1.914050274100913,1.555554901811924,-5.477595601214067,0.9949882886494756,0.09999995797362371,1,0
28,0,0.1166666666666667,0.553985541683392,-1.605209580916841e-07,0.9954725078077049,0.9712993953443158,0.3068811676134585,-1.850892054169522e-50,-0.2805770675323049,0.9858032628223493,1.024954409844171,0,0.2805770224938063,0.9858031045802649,0.9999991888194414,0.4834590704145522,0.8767993505071141,0.9999990282986139,0.05011703520638433,0.9999995777022623,1.914050274100913,1.555554044020066,-5.47759572301229,0.9949882964793615,0.09999990282986143,1,0
29,0,0.1208333333333333,0.5539852918360039,-1.59967389190148e-07,0.9954725098877178,0.9712994120771619,0.3068810520585166,-1.840636836868146e-50,-0.2805769618820724,0.9858032707634955,1.024954392698215,0,0.280576916998909,0.98580311306712,0.999998644836983,0.483458631296477,0.8767989684215344,0.9999984848698101,0.05011695779260155,0.9999995777022623,1.914050274100913,1.555553198686372,-5.47759584343373,0.9949883042207398,0.09999984848698105,1,0
30,0,0.125,0.5539850423757064,-1.590335002852242e-07,0.9954725123909668,0.9712994296267905,0.3068809344970095,-1.830438825869979e-50,-0.2805768543972659,0.9858032792852963,1.024954375185283,0,0.2805768097761468,0.9858031225095502,0.999998108880669,0.4834581963186111,0.8767985936825039,0.9999979498474685,0.05011688111002591,0.9999995777022623,1.914050274100913,1.555552366429395,-5.477595962717737,0.9949883118889973,0.09999979498474686,1,0
31,0,0.1291666666666667,0.5539847940204899,-1.57728374617999e-07,0.9954725153137988,0.9712994479167941,0.3068808153870263,-1.820297626618377e-50,-0.2805767454967097,0.9858032883549971,1.024954357282116,0,0.2805767012417956,0.9858031328658469,0.9999975821451498,0.4834577666810051,0.8767982269840474,0.9999974244171551,0.05011680522120067,0.9999995777022623,1.914050274100913,1.555551549093352,-5.47759608076702,0.9949883194778799,0.0999997424417155,1,0
